review,sentiment
although many audio recording great musician like jascha heifetz survive cinematic televised record limited indeed musical offering like shall music rare gem modern eye ear one quibble plot perceptive viewer put film unique delight proper perspective plot designed appeal young old audience era remains enjoyable day important aspect experience watching classic film see eye moviegoer era br br must take issue reviewer complains film black white feel obliged report student express reservation juvenile complaint reflect limited historical perspective teacher offer educational opportunity explain unique quality black white photography place cinematic history color fact get way good storyline music example black white photography john ford stagecoach like still photograph ansel adam artistic masterpiece br br heifetz wooden could disagree want blatant emotional posturing go rock concert role classical musician like heifetz move audience heifetz emotion conveyed playing body language rare ability extract every emotional nuance music transfer listener listener moved artist br br incidentally one reviewer asked seeing heifetz youtube playing st movement tchaikovsky violin concerto frank mchugh audience film carnegie hall shall music carnegie hall even greater treasure many great classical artist prime blessed film producer least limited instance chose showcase artist still era totally overwhelmed lowest common denominator tripe get today,1
definitely definitely worst film ever seen question asked contradictors opinion might argue title judged criterion others since independent low budget film c mon already  amateurism meager innovation horrifying br br agreeing everything said film example mind numbingly weak acting bad take another go shooting scene god damn thing found annoying total lack common sense script assuming thing existed production obvious absence dialogue respect viewer girl switched personality several time seemed show absolutely sing rationality even brain five relatively fit girl one slight female psychopath  gang br br thing regarded somewhat conquest title camera leaving van time thus viewer seeing everything inside rest film good idea executed exponentially dreadfully br br oh way movie nothing like blair witch project cloverfield title filmed hand held camera  effect trait used cleverly breathtaking case excuse inadequate cinematography,0
someone teach people made movie difference presenting multiple twist screwing audience even use hypnosis tool cover plot hole whenever find way scene say regressing past snapping think explains everything movie dishonest cheat last minute becomes full blown fiasco,0
sometimes ignore little voice head say stay away movie pay attention little voice may worst movie ever non pleasure sitting may best reason remember dvd player fast forward button made budget somewhere vicinity cavern obviously quick cheapie made piggyback current bunch scary cave lot darkness claustrophobic spelunker unknown menace flick like cave descent year back similar rash look alike movie used sea going vessel instead cave scary boat submarine lot darkness claustrophobic adventurer unknown menace old old cavern really blair witch project time lost earth lost top throw flashlight failing battery cow skull fang glued monster one stupidest twist climax ever put film said let urge listen little voice head friend want happy life stay away movie,0
novel easily superior best part film direct translation greene wrote instance quiet grim humour break scene boyer lorre murdered child obsession take plot film deviate novel tends ludicrous br br however want suggest film bad way always look part story stay mind like good un minor character stock actor could turn hand anything br br dreadful shame film available dvd,1
bled apt title watch feel life bled cliché horror people exactly going basement going attic trouble ensues take heed watch film show brain victim horror movie never stay clear enter need anymore incentive film bad worst uwe boll film mean house dead bad often thought entering review film b watching based comment herein discovered guess everyone entiled opinion please trust mine,0
really much say movie crude fun br br plot outline imdb br br br br two loser milwaukee coop remer parker stone invent new game playing basketball using baseball rule game becomes huge success along billionaire help form professional baseketball league everyone get pay team change city coop remer team milwaukee beer team standing way major rule change owner dallas felon vaughn want institute br br br br acting pretty good since arn many big star movie although big fan southpark parker stone pretty good job first real movie br br many funny moment movie come close naming never really let try put cruddy drama make serious br br favorite aspect movie soundtrack great especially like take beer reel big fish underrated br br overall crude extremely funny movie br br james black wolf johnston,1
suppose like pure action find suppose find gorgeous blonde designed screwed find suppose want find couple extra baddie headed extra extra baddy boss meat nasty end find br br overall routine stuff good guy come top big time extra ordinary circumstance br br marvel good guy armed pistol kill dozen bad guy machine gun shooting point blank range missing goody even get time reload pistol amid hail machine gun bullet br br ho hum,0
child tv series mary sue time mean bitchy bring self sit episode zoey mention jamie lynn spear act save life message show bring kid perfect like zoey unworthy rollseyes br br absurd zoey character exactly type person would despised real life yet manages become popular chase basically lovesick puppy worship ground zoey walk fact character seem dumbed order stop outshining zoey sorry characterization show extremely unrealistic,0
ever said movie redeeming feature whatsoever answer yes one helming appalling house dead director uwe boll cast less talented eye towards yet another video game adaptation guy get anyone understand block capital video game make good movie acting best sub standard set design special effect poor unlike video game scary moment movie atmosphere impending doom sense danger menace pacing plotting confused paper script printed would better used toilet paper main culprit director uwe boll us camera grace skill monkey using paintbrush hackneyed zoom swoop pan spliced whole dreary affair unpredictable moment leaving audience disorientated bored guy ever let near movie set first place must stand one modern cinema greatest secret avoid cost,0
could great film late poker pro pre poker craze stu kid unger turned disappointment br br tell filmmaker working short string budget everything look filmed cheap timeline seemed bit br br casting michael imperoli soprano also bad casting choice looked old play baby faced stu looked way healthy coke addict look footage wsop main event real stu skinny practically nose much cocaine wore sunglass hide kept expecting adriana pop yell chris tu phur br br also skipped fact son angie previous relationship committed suicide late br br every time saw vincent van patten appear kept thinking going announce show tune going stu head like wpt br br looking real stuey footage check espn classic rerun wsop main event every often try youtube avoid move like bad beat,0
depiction forlorn japanese force philipines tour de force utter meaninglessness war effective representation japanese pacifist view ww ii movie japanese soldier left fend jungle philipines faced impending starvation resort cannibalism gradually lose little humanity left call film depressing would something understatement viewer left utterly despairing sense life lost value modern combat final scene almost nihilistic film worthy statement none less highly recommended,1
poor jane austen ought glad around see dreadful wreck adaptation many great jane austen movie come recently one deserves permanently buried along two movie despise man gray flannel suit version david copperfield main beef movie completely miss point book jane austen poking fun gothic mania society much novel tongue cheek movie however serious come across terribly melodramatically lighthearted fun poking flavor austen writing completely conspicuously absent ponderous foray iinto horror meet period drama scene catherine imagination gratuitous uninteresting also henry tilney dreadfully unappealing ask would anyone fall looking fun filled jane austen evening watch emma instead,0
steve irwin admire man willing throw river clearly filled crocs snake lizard ton poop aforementioned reptile mud daily enthusiasm never able make want managed make wife come close br br movie fall parallel universe film category film people teeth drilled migraine film experience therefore like quiet mediocrity currently well populated disney film noisy well steve noisy happy time would cut right blasé teenager hear movie stupid tylenol codeine say enthusiasm catching would room full snake happened yet agreed beauty still going pet br br plot indeed predictable bad guy bad minute thought shopping consumer electronic superstore movie filled animal steve terri watched plot could call really reason throw yet another croc truck expectation low stayed way br br hoping though would bit sequel steve terri worked acting skill movie real plot animal fur still believe see steve anymore hope terri child continue involved australia zoo discovery channel least imagine seeing crocodile without member irwin family telling forcefully wonderful croc crikey,0
based actual story john boorman show struggle american doctor whose husband son murdered continually plagued loss holiday burma sister seemed like good idea get away passport stolen rangoon could leave country sister forced stay back could get paper american embassy fill day could fly took trip countryside tour guide tried finding something stone statue nothing stirred stone br br suddenly hell broke loose caught political revolt looked like escaped safely boarded train saw tour guide get beaten shot split second decided jump moving train try rescue thought continually life danger br br woman demonstrated spontaneous selfless charity risking life save another patricia arquette beautiful look beautiful heart unforgettable story br br taught suffering one promise life always keep,1
love movie air anymore get air miss movie movie air love movie much anyone know long since last disney long time sick waiting want see susie q swear take good movie air play new stupid gay one fake retarded miss movie wish upon star kazaam shaquille neil bunch good movie go want back miss good movie anymore anybody find susie q good old disney movie come please let know email girlygirl aol com girlygirl blank space thank hope want movie back great day,1
watched last night first time year bad really bad enough hilariously awful moment worth watching first deliberate make boy babysat completely effeminate even say costello la mae west fascinate costello double take god know would happened babysitter hunk kid would seduced heartbeat principal male dancer totally inept roar laughter leap prance talent whatsoever giant grave never looked better life two romantic lead zero waste abbott get sing one line dubbed another singer geez guess even carry tune costello manage charming fear nothing number guess small child might like much recommend oh seductive effeminate boy aspect alone blew away plus fact family accepted anyone street reference babysit child today little femmy boy would taken away,0
long boring blasphemous never glad see ending credit roll,0
film kid parent split tadashi move mom live grandfather tadashi sister stay dad talk frequently phone grandfather every third day mom never really home kid always picking poor kid village festival tadashi chosen kirin rider spiritual champion peace justice little suspect soon actually step role hero force darkness join rage thing discarded plot destroy mankind spiritual world br br okay easy part come hard part trying explain film br br great kid film great film flawed flawed great film none less unfolds like great book loved kid dense time tadashi struggle find strength become hero watching felt reading great book thought huge would book loved film follow normal path thing often happen happenstance miscommunication one character get sucked event simply foot fall asleep twist turn moment seem like non sequiters charming typical miike certainly takashi miike film japanese master film clearly charge film often touching scary funny time one except miike seems understand many emotion time suddenly twist thing get dark one second funny next admire fact miike made film bleak hopeful shy away scary mean really scary especially kid dark territory harry potter movie rarely dark grimm tale humor first reaction upon seeing opening image believe anyone would begin kid film picture end world realized making movie hat miike making movie know kid handle frightening image br br also operating one level mechanical monster bad guy make forged mankind discarded junk rage thrown away fuel monster one yokai spirit talk rage sneaker thrown away dirty small feel tossed also one good guy refusing join bad guy would human thing wild concept like thing floating around lift movie another level good many riff reference movie tv show novel make wonder film since kid may understand though many parent course monster run gamut cheesy spectacular stop everywhere frankly forgive unevenness creation simply hundred thousand monster screen way cool work one main character yokai think best described hamster tunic often played stuffed animal look dumb yet cheering little bugger loving every moment ride tadashi head acceptance also easier ever seen old woodcut weird japanese monster mentioned flaw effect uneven sudden turn bit odd even understandable minor thing fading two hour watching film none truly hurt film however kind keep completely happy movie br br really loved movie pretty sure saw kid would favorite film time english dub see movie great trip besides good introduction film miike minus blood graphic sex,1
really sure even begin describe bad movie like bad film often entertaining love bad special effect bad acting bad music inept direction exception music better expected movie quality br br special effect amazingly bad worst seen since nintendo scene watch include thunderchild woman crushed mechanical foot big ben scene train wreck wow many bad effect plus side though scene alien walker well done br br acting bad could possibly based directly h g well book good source material almost though actor trying top make funny mustache single distracting piece facial hair seen long time course half movie contains acting rest character walking around aimlessly poorly rendered effect shot br br say timothy hines inept director would injustice inept director use different colored filter shot particular reason use poorly rendered background even inside scene bad green screening amazing man ever got approval direct movie imagine would possible turn brilliant book bad movie bravo mr hines bravo br br advice anyone plan see movie friend enjoy bad movie drink play poker watching keep drinking maybe make way make excellent bad movie fun laugh silly disaster,0
saw sb tv australia week titled laputa castle sky enabled subtitle think sb provided usual good quality br br looked laputa wikipedia confirms suspected floating island tale taken classic jonathan swift novel gulliver travel published early mid br br anyway engaging japanese fairytale feature english speaking voice cast suitable young child think run two hour length may long though adult like br br story concern two child seek find legendary floating island castle child one looking island pirate army spy looking island looking capture child sheeta girl voiced anna paquin pazu boy voiced james van der beek order help find br br graphic magnificent sort photo realistic time especially scene stonework lit torch light pretty scene bright sunny day white cloud mist br br recommended,1
u least inhabit two world real world mercy circumstance world within unconscious safe place escape word mr gone introduces inside world maxx fascinating world fantasy reality combined inspired comic book sam kieth maxx faithful material inspired story also graphic style look like page comic giving show surreal unique appearance also story interesting entertaining moment could turn weird got inside hard get story character wonderfully developed music go perfectly style show give proper atmosphere unfortunately like many good animated show one short lived maxx must see one time favorite,1
sunday night waiting advertised movie tv said comedy movie started minute passed minute laugh even fact movie ended get even echance laugh please someone tickle lost minute nothing,0
film begin little girl rita seeing father killed apparently criminal squealed fellow crook later part make little sense girl grown adulthood still father past haunt bit later rita meet good nothing date one date bit intoxicated driving like total fool cop give chase speed away killing pedestrian meantime come really stupid part convinces confess crime assures lawyer get scot free oh would agree yet spends next couple year prison soon conviction boyfriend disappears showing total heel chump later release friend jack la rue informs truth boyfriend explains boyfriend family loaded shake lot cash trouble put taking rap frankly make sense certainly owe especially since knew go prison every intention using casting aside br br idea bleeding money rich chump good plot idea however way would occurred first place hard believe anyone could stupid take rap hit run interesting twist dumb lady decides life crime donning wig picking rich guy taking desert robbing gunpoint wow changed apparently love idea stealing phony e rich hypocrite however made sense soon stopped began shaking father old boyfriend bothered petty robbery meantime made little sense also bit hard believe instead wanting money old jerk interested getting put influence behind mob controlled man mayor odd odd br br meantime another plot develops involving young alan ladd undercover agent infiltrated mob chosen happens dead ringer real crook cliché make sense real crook jail committing crime fake one infiltrating mob another town br br eventually evidence ladd able uncover enough issue warrant mob kingpin including rita case bad timing interim made decision become decent legitimate woman met really nice guy want marry wow odds overall goofy rather dumb movie suffers kitchen sink syndrome word way many plot element weird twist make movie least bit believable plus since movie little hour long seems forced contrived relatively bad b movie crap studio prc note performance alan ladd gained great fame following year paramount br br way dvd released alpha video company sometimes release wonderfully obscure title mostly public domain never clean print add closed caption word dvd production value strictly rd rate best,0
know want escavate moon real geneve debated project could lead make possible time machine say movie based fact future time movie scientifical project real hope moon exist happen movie movie saw original movie also read book book like though movie yes totally agree previous comment movie depressing unlike one good force one paralled future good movie,0
br br robot jox great little film ok set bad acting great special effect good film size age remember film year old made cheaply st place cant moan much bad part sit back watch cool film great big robot,1
movie part every around minute long based true story life joe bonanno telling see event notice heard different movie make tied chair till end think possible watch row notice watched row next day row acting movie ok scene awesome general could bather movie acting special effect glamor one show real thing story key movie one look spectacular rambo matrix titanic movie skip one good thing movie follow main story long boring love scene different interrupt something important crime business bonanno,1
major german tv station broadcast mess like amazing main actor avoid every acting talent even well known gottfried john acting poor especially double murder scene amateurish screen plan extended perhaps fill part movie careful fall asleep watching set obviously often blue screen f g scene ship unreal sea background german version sound dubbing poor probably reason different language actor international production handle much professional advice watch diabolic waste time,0
watching half movie noticed something peculiar found constantly switching tv channel see else exactly good movie trait br br movie listed number genre must say mostly failed misserably every one movie switched watch old rerun instead bottom line whole movie felt one making exactly know make ended concoction discernable taste,0
one episode one indisputable error storytelling handling ralphie situation christopher state heard pie death fire accident important detail context quite obvious christopher know beginning tony one must killed ralphie however way chris could heard accident told time torn delirium tony call nobody else informed tony know make even worse hearing christopher talk pie death could therefore lead tony conclusion chris set fire given impressively elaborate writing process told writer dvd really wonder none realized problem story work way unnecessary add huge fan soprano otherwise certainly care,0
drink water unbelievably bad film based broadway play woody allen star jackie gleason comic genius behind honeymooner director howard morris appeared several mel brook comedy life stink high anxiety silent movie made mark animation character voiced include gopher pooh jughead archie beetle bailey went wrong br br think problem premise played seriously work effectively allen original play tongue cheek worked broadway allen remake screenplay r allen harvey bullock beat premise death make many change original play making gleason wife airhead version headstrong woman original one example work br br acting much better gleason best material save gleason comic genius also fine actor demonstrated hustler soldier rain abrasive personality could worked lousy script even give chance bad estelle parson airhead wife drive nut minute see soon take want strangle also shame also fine actress turned two exceptional performance bonnie clyde rachel rachel none actor particularly well either br br woody allen hated film much remade film julie kavner marge simpson lead manage hit right note film comic masterpiece finally video long battle right go find version original good clearing unwanted guest overstay welcome br br star,0
always enthusiastic period drama art form bbc excelled past presentation byron unbelievable unbelievably bad script dreadful acting uninspired character woefully insipid apparently byron mad bad dangerous know set lady heart flutter production appeared tawdry jumped little squirt instead fiery hero womenfolk greek struggle independence said byron walked limp portrayal man limp br br watched whole two half hour waiting something spark life splutter even glimmer utter tedium downright boredom start finish br br opinion one ever better bard avon also believe byron poetry revered mind flung back burner dramatisation life accorded treatment br br think bbc lost nous one,0
dad good time watching flick today guy primarily known serious role de niro heckuva comic actor course help past film image play consider one role minute cop deal interference mass medium interesting set compare contrast performance br br murphy play another axel foley sort character shatner play burlesque parallel world self best known tj hooker star trek br br interesting watch film comment contrast reality police work fictional counterpart tv film shatner lecture proper mean sliding across car hood de niro point holster scratch hood finish ironically film progress de niro character begin incorporate illusion tv cop reality real world case working br br film draw inspiration gamut source one could make comment derivative well satire need derive humor order exist besides film quirky moment originality example reasonably sure method villain death never done br br one quibble reality weapon involved gun kind recoil order penetrate steel bullet enough inertia penetrate bullet highest level inertia moment firing firing volley tank killer bullet driven shooter back onto butt oh heck satire maybe gun lack recoil satire b f gun used casually thriller br br,1
film version sandra bernhard one woman broadway show gaspingly pretentious sandra spoof lounge act superstar sense irony fitfully interesting fitfully funny fan say scathingly honest may true also shrill unapologetic face bravado well suited film genre want make nice certainly make friend always going rub lot people wrong way even meet halfway material seriously lacking filmmaker nicolas roeg served executive producer though directed film chilly detached signature style bernhard co wrote show director john boskovich oddest touch sandra house audience looking completely bored feeling many real viewer likely share,0
seen movie twice time cinemax first time unrated version soft core porn best second time trimmed cut sex nudity version entertaining typical beach movie sort way unrated version tremendous sex scene nikki fritz dude bottle oil world pun intended unfortunately trimmed version scene almost completely chopped sex scene rated unrated still fun watch sibling bigger star stallone sheen travolta etc trying act also get appearance b queen linnea quigley burt ward robin old batman series,1
read biography lincoln maybe accurate portrayal br br maybe used equally alienating unrealistic worshiping portrayal unnaturally deify lincoln brilliant honorable savior country br br would make movie representing lincoln buffoon henry fonda made excellent lincoln portrayal aw shuck simple guy seemed little insulting br br granted bushie jr whole campaign make u think regular guy care rich privileged moron whole story br br film show lincoln sort simple almost simple minded kind guy film state lincoln sort got law accident even interested law falsely simplistic idea law right wrong film good defense attorney lounge around foot table make fun witness outcome mostly determined chance luck br br furthermore partly financed republican reaction play sponsored democrat come partly sentiment time film unfortunately religious racist conservative br br waste time film,0
bliep movie fiend better script nice movie done till end thought okay going back past part barf corny waiting fairy god mother appear wow happen good br br loved big tom hank see movie new form another kid wished older bigger pasé br br watch till come tv get wrong,0
relief find imagining programme summary taxman great remember finding haunting particularly family viewing must time watched think girl age part attraction lead blond hair permanently sad state theme played flute recall although cannot remember went think intro showed playing maybe played flute programme especially sad maybe destined never know ended see clip hear tune least know,1
movie received great write blockbuster coming attraction looking forward release date plot sound reasonable cast alone guaranteed side splitter whoa apart wall betting event quite bore br br never become comedy classic afraid done help fine comedy reputation john cleese rowan atkinson quite funny rowan atkinson sort way,0
teen agers go old deserted farm house left one dead grandfather unaware several murder decade earlier grandfather made pact devil good harvest guy thought something better sell soul man grandson friend set next sacrifice reason never explained stereotypical teenage son girlfriend black guy white girlfriend two lesbian battle three killer scarecrow tricked like nearly fun sound mostly lot chit chat ball kicking dope smoking lead actor complaining never knowing parent camera work atrocious shaky maybe done hand held camcorder scene maybe good thing since scarecrow look like came kid birthday party apparently could hire two people play three scarecrow best movie seen low budget independent horror movie one pathetic cast crew seems made bunch people knew never acted intention acting thousand dollar believe movie cost make weekend free time hand even lesbian skinny dipping scene lame br br think amusing also writing sequel film one even bothered adding imdb br br rate highly skinny dipping scene matter lame may,0
already year eddie murphy longer hot started making movie soon would forgotten funnily enough also year murphy directed first film also would first last experiment harlem night exactly call success even great see two best black comedian together namely murphy richard pryor blame actor played role like expected even face typical murphy laugh worst thing harlem night scenario terrible decor everything set roaring twenty everybody profit forbidden club sugar ray pryor adopted son quickie murphy gathering easily dollar per day course soon mob corrupt police come around corner claim part cookie sugar quickie guy give money free plan watch harlem night sure puke moment hear name murphy better avoid movie nothing lame excuse see good joke,0
like circle movie lead back point departure image crane crossing muscovite sky represent freedom realize life wish order aspire greatest possible fulfilment br br beginning veronica boris experience promise happiness eye follow path crane exhilaration seems might able live according dream br br man bird life draw rule human escape cannot change even making supreme effort war break without much hesitation boris sign front order fulfil patriotic duty cannot even say good bye veronica arrives late assembly point soldier sent away surrounded jubilant crowd attempt attract boris attention must inevitably fail br br boris eventually get killed war without veronica learning moment brother mark vigorous musician obtained exemption military service corruption eager take place veronica initially resists frightful night bombing finally fall victim charm marriage take place never accepted family br br soon feeling guilt seize hold veronica realizes boris return one thing actually longs therefore eas bad conscience despair self sacrificing work field hospital br br war finally crowd enthusiastic people gather order cheer victorious soldier veronica among forcing way wall body hand carrying bunch flower finally give away complete stranger one homecomers dashed hope confirming sad certainty boris death br br crane invade sky drawing wayward line veronica watching look eye different one accept impossibility live according preconceived plan follow guideline dream human nothing helpless puppet hanging inscrutable string fate br br,1
movie waste time money throughout entire hour half continued wait get better never slow moving plot jumped around scary interesting really never amounted anything credit introduction long drawn basically like rest movie long drawn numerous part plot made sense several time movie thought maybe zoned incongruity plot however companion issue assured zone boredom indeed movie actually never posted movie actively looking movie imdb numerous year fact actually taking time write something speak volume bad movie waste time money,0
nearly always case britain come entertaining successful sit com quiz show yank come along poach format produce grossly inferior version man house course exception rule yank version three company unwatchable braindead pap seem run forever prime example quantity non existent quality original hand fondly remembered gem savvy like fawlty tower pull plug precisely right time unlike episode hilarity three company came jo cute brilliant chemistry roper richard sullivan made look easy script whilst exactly oscar wilde standard consistently funny chrissy drop dead gorgeous woman walked face planet since dead sea merely feeling unwell nuff said,1
certainly one time fav episode trek much going one film crazy cool first guy beam alien planet thats explode meet freaky librarian type dude well played kirk manages get transported back much like th century earth mccoy spock try follow instead nearly freeze death frozen version alien world year past kirk manages get locked charged witchcraft spock enjoys amok time sexy cavegirl vanquished frozen awful world bad guy br br spock decides he happy he give mccoy royal assestment whuppin doc suggests need look way anyhow finally escape leaving poor cavegirl behind take ton convincing spock finally give leaf literally taste sadness end leaving cavegirl alone frozen wasteland seems cruel really touching spock must vulkin mind leave behind greatest hope love human albeit nice neighborhood br br anyway get much bang buck episode love story salem witch trial spock human desperation left total isolation abandoned three entirely different setting alien planet amazing managed jam one fifty minute film one classic miss want dvd fer shure vulcan,1
kid remember watching visiting friend uncle phil back dinosaur story silly cartoon dinosaur called rex voiced wonderful john goodman tell little boy dinosaur story dinosaur came back earth live explains part thing brought back along friend doctor professor villain film think might responsible back care kid might like personally cheesy john goodman probably decent thing poor,0
heard lot different opinion film find paris hilton well give best impression film dragged cinema group friend sit expecting pile pant shocked find scared stiff way film predictable yes build death whole atmosphere film made really scary watching finger whole way say go watch decide fact scary film convince go watch also chad michael murray bad watch couple hour eh,1
